Bank,Ca2,Aq2,Me2,Eq2,Lm2
Absa,0.2234,0.0719,0.025,0.0723,0.575
AB,0.268,0.1236,0.0321,0.021,0.8992
ADB,0.137,0.4929,0.0342,0.0543,1.3524
BA,0.2165,0.1087,0.0431,0.038,1.211
CB,0.167,0.08,0.0226,0.028,1.04
Ecobank,0.1462,0.115,0.5003,0.0407,0.6805
FBN,1.9034,0.1591,0.271,0.0579,1.7823
FB,0.0239,0.1367,0.0222,0.0264,0.985
FAB,0.25,0.16,0.0291,0.0127,0.91
FNB,0.6712,0.0413,0.0142,-0.0563,3.2737
GCB,0.22,0.06,0.3388,0.1671,0.97
GTB,0.5276,0.412,0.0199,0.0705,0.8246
NIB,0.1522,0.14,0.0521,0.053,0.9433
PB,0.3257,0.2015,0.0551,0.0532,1.004
RB,0.1523,0.3213,0.0322,0.0231,1.206
SGSSB,0.1489,0.0895,0.0379,0.0376,0.6472
SB,0.205,0.1832,0.068,0.0751,0.7613
SCB,0.1834,0.234,0.0422,0.0432,0.9563
UBA,0.2519,0.3511,0.093,0.0624,0.96
UMB,0.1103,0.151,0.0598,0.0433,0.67
Zenith,0.1953,0.0565,0.0542,0.0452,0.9864
