Bank,Ca2,Aq2,Me2,Eq2,Lm2
Absa,0.2045,0.136,0.0344,0.0893,0.595
AB,0.1329,0.323,0.0452,0.022,0.7941
ADB,0.1372,0.4287,0.043,0.029,1.442
BA,0.2374,0.1029,0.0478,0.0234,1.2
CB,0.219,0.109,0.0238,0.036,1.25
Ecobank,0.125,0.2004,0.5041,0.061,0.677
FBN,0.5244,0.0973,0.0373,0.0954,1.0308
FB,0.2093,0.012,0.0213,0.0189,1.1
FAB,0.23,0.18,0.0284,0.0135,1.062
FNB,0.5263,0.0061,0.0312,-0.0963,2.1641
GCB,0.23,0.1,0.3632,0.042,0.67
GTB,0.2916,0.0199,0.0184,0.077,0.73
NIB,0.126,0.089,0.0692,0.041,0.8431
PB,0.3588,0.2044,0.0532,0.0428,1.2
RB,0.191,0.241,0.0263,0.0321,0.9834
SGSSB,0.156,0.075,0.0395,0.055,0.544
SB,0.238,0.1994,0.0598,0.075,0.83
SCB,0.163,0.01,0.0511,0.035,0.8932
UBA,0.2262,0.1934,0.0211,0.0607,0.8966
UMB,0.102,0.17,0.0685,0.035,0.71
Zenith,0.289,0.0353,0.0243,0.0863,0.8694
