Bank,Ca2,Aq2,Me2,Eq2,Lm2
Absa,0.2009,0.0664,0.0238,0.0665,0.7832
AB,0.2175,0.216,0.022,0.01,0.9372
ADB,0.1645,0.4172,0.0321,0.0632,1.4498
BA,0.4666,0.1192,0.0457,0.0627,1.2168
CB,0.227,0.99,0.0193,0.025,1.42
Ecobank,0.1858,0.057,0.4806,0.0857,0.1775
FBN,0.3486,0.1793,0.0273,0.0843,1.3166
FB,0.342,0.1644,0.0196,0.0305,0.894
FAB,0.25,0.26,0.2381,-0.029,0.8
FNB,1.0074,0.0059,0.051,0.0027,1.8653
GCB,0.175,0.0601,0.3491,0.1401,0.6
GTB,0.4771,0.266,0.0172,0.0824,0.898
NIB,0.1409,0.152,0.0543,0.0443,1.2
PB,0.0297,0.207,0.0545,0.0623,1.001
RB,0.2741,0.1816,0.0421,0.041,1.3069
SGSSB,0.1506,0.0883,0.0314,0.0289,0.6756
SB,0.144,0.74,0.0548,0.0573,0.56
SCB,0.2311,0.1894,0.0621,0.0354,0.875
UBA,0.2531,0.3712,0.0302,0.072,0.7601
UMB,0.2003,0.1384,0.0661,0.0466,0.58
Zenith,0.2632,0.072,0.0534,0.0542,1.232
