Bank,Ca2,Aq2,Me2,Eq2,Lm2
Absa,0.2268,0.077,0.0239,0.0769,0.7663
AB,0.3643,0.185,0.0217,0.03,0.9449
ADB,0.1487,0.344,0.054,0.0523,1.1776
BA,0.4622,0.1554,0.0528,0.453,1.1596
CB,0.223,0.135,0.0178,0.027,2.167
Ecobank,0.1918,0.062,0.4615,0.1027,0.1718
FBN,0.7462,0.0758,0.0328,0.0794,0.9813
FB,0.1081,0.148,0.0247,0.026,0.952
FAB,0.27,0.14,0.0222,0.0255,1.13
FNB,0.3716,0.035,0.0306,0.0003,1.7852
GCB,0.207,0.0871,0.3776,0.02,0.64
GTB,0.4385,0.0098,0.0138,0.0701,0.642
NIB,0.2199,0.12,0.0611,0.0321,1.42
PB,0.2816,0.22,0.0454,0.0431,1.004
RB,0.266,0.1903,0.0432,0.0312,1.6636
SGSSB,0.1706,0.067,0.028,0.0304,0.8827
SB,0.185,0.75,0.0448,0.0487,0.81
SCB,0.241,0.1699,0.061,0.0422,0.6783
UBA,0.242,0.443,0.0155,0.079,0.743
UMB,0.1797,0.1381,0.0622,0.0503,0.66
Zenith,0.4317,0.0615,0.0423,0.0563,1.36
