Bank,Ca2,Aq2,Me2,Eq2,Lm2
Absa,0.1904,0.1917,0.0323,0.0879,0.7143
AB,0.1114,0.2571,0.0132,0.016,0.8832
ADB,0.1408,0.4394,0.0448,0.04,1.4673
BA,0.2211,0.0974,0.0369,0.0236,0.7138
CB,0.192,0.08,0.0203,0.003,1.2243
Ecobank,0.1474,0.119,0.4462,0.053,0.7344
FBN,0.3363,0.0524,0.0328,0.0955,1.8099
FB,0.2314,0.0734,0.0254,0.0036,0.12
FAB,0.26,0.41,0.0297,0.0441,1.0915
FNB,0.4785,0.0079,0.0904,-0.015,1.8821
GCB,0.293,0.14,0.3705,0.042,0.86
GTB,0.2206,0.1268,0.0195,0.0149,0.6478
NIB,0.0115,0.123,0.0801,0.048,0.845
PB,0.3714,0.321,0.0493,0.0456,1.24
RB,0.182,0.1834,0.0345,0.0423,1.0032
SGSSB,0.151,0.03,0.086,0.069,0.4998
SB,0.186,0.2466,0.056,0.0651,0.7621
SCB,0.15,0.005,0.0324,0.011,0.6744
UBA,0.2233,0.2402,0.0282,0.0587,0.7821
UMB,0.103,0.106,0.0575,0.0312,0.6
Zenith,0.32,0.0572,0.0456,0.0673,1.0023
