Bank,Ca1,Aq1,Me1,Eq1,Lm1
Absa,0.1775,0.1866,0.04,0.087,0.7143
AB,0.059,0.084,0.0432,0.011,0.7832
ADB,0.1408,0.3389,0.0669,0.024,0.9646
BA,0.2287,0.1008,0.0353,0.0219,0.9645
CB,0.214,0.055,0.024,0.049,1.2345
Ecobank,0.1713,0.1801,0.4509,0.055,0.6986
FBN,0.27,0.878,0.0269,0.0872,1.023
FB,0.342,0.056,0.08,0.04,1.42
FAB,0.1265,0.36,0.0263,0.0121,1.2187
FNB,0.8961,0.0067,0.0661,-0.0323,2.6219
GCB,0.2443,0.13,0.3511,0.039,0.63
GTB,0.1703,0.2353,0.0184,0.0717,0.5565
NIB,0.12,0.135,0.0572,0.039,0.83
PB,0.2761,0.2351,0.0474,0.0057,0.99
RB,0.145,0.1543,0.0511,0.0421,0.8934
SGSSB,0.136,0.007,0.0368,0.2,0.5435
SB,0.1258,0.2399,0.066,0.0811,0.952
SCB,0.101,0.01,0.0523,0.015,0.9412
UBA,0.2204,0.3316,0.0217,0.0609,0.8666
UMB,0.0964,0.2312,0.0527,0.0296,0.6822
Zenith,0.4,0.0871,0.0623,0.0426,0.9421
